Botanical name,C for coastal,Coastal preference,Description,Common Name,Drainage Preferences,Drought tolerance,Flower description,Frost tolerance,G for groundcover,H for hardiness,Height average,Position preference,D for dappled,Soil type,T for tasmanian,Wet area plant,Average width,Wind resistance,Detailed Description
Acacia riceana,,protect in coastline sites,grows in most soil types & positions bronze new growth tips,Arching Wattle,moist well drained site,usually tolerates dry periods,pale yellow spikes in early spring,very frost hardy,,,5.0,part shade to full sun,,light clay to sandy soils,T,,4.0,some wind protection,"Arching Wattle is a remarkable plant admired for grows in most soil types & positions bronze new growth tips. It showcases pale yellow spikes in early spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both very frost hardy and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 5.0 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Acacia sophorae,C,severe coastal exposure,"salt tolerant, dense fast windbreak good plant in coastal revegatation work",Coast Wattle,good drainage,very drought tolerant,bright yellow spikes in early spring,frost hardy,,,3.5,prefers full sun,,prefers sandy soils,T,,5.0,very wind resistant,"Acacia sophorae is well-regarded for salt tolerant, dense fast windbreak good plant in coastal revegatation work. It showcases bright yellow spikes in early spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in prefers sandy soils, this plant is both frost hardy and very drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 3.5 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Acacia stricta,,moderate coastal exposure,fast growing - prune occasionally revegatation & screens or windbreaks,Hop Wattle,good drainage,drought tolerant,pale yellow ball flowers in spring,frost hardy,,,3.0,prefers full sun,,light clay to sandy soils,T,,2.5,some wind protection,"Hop Wattle (Acacia stricta) is recognized for fast growing - prune occasionally revegatation & screens or windbreaks. It showcases pale yellow ball flowers in spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both frost hardy and drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 3.0 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Acacia terminalis,C,moderate coastal exposure,fast growing screen plant useful for revegatation work,Small Cedar Wattle,good drainage,very drought tolerant,yellow ball flowers in winter & spring,frost hardy,,,2.25,prefers full sun,,light clay to sandy soils,T,,2.0,some wind protection,"Gardeners often choose Small Cedar Wattle for fast growing screen plant useful for revegatation work. It showcases yellow ball flowers in winter & spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both frost hardy and very drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 2.25 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Acacia verniciflua,,mild coastal sites,fast growing screen - prune useful for revegatation work,Varnish Wattle,good drainage,drought tolerant,yellow ball flowers in late spring,frost hardy,,,4.0,dappled shade,D,light clay to sandy soils,T,,4.0,some wind protection,"Varnish Wattle (Acacia verniciflua) is recognized for fast growing screen - prune useful for revegatation work. It showcases yellow ball flowers in late spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both frost hardy and drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 4.0 meters, it flourishes in dappled shade. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Acacia verticillata,,moderate coastal exposure,fast growing prickly foliage good pioneer revegatation plant,Prickly Mimosa,good drainage,drought tolerant,yellow flower spikes nearly all spring,very frost hardy,,,4.5,part shade to full sun,,light clay to sandy soils,T,,4.0,wind resistant,"Acacia verticillata is well-regarded for fast growing prickly foliage good pioneer revegatation plant. It showcases yellow flower spikes nearly all spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both very frost hardy and drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 4.5 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Acacia vestita,,mild coastal sites,weeping foliage attractive small feature,Hairy Wattle,good drainage,drought tolerant,golden yellow ball flower early spring,frost hardy,,,2.5,part shade to full sun,,light clay to sandy soils,,,3.0,some wind protection,"Hairy Wattle (Acacia vestita) is recognized for weeping foliage attractive small feature. It showcases golden yellow ball flower early spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both frost hardy and drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 2.5 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Syzygium smithii minor Acmena smitthii dwarf,,mild coastal sites,avenue feature with bronze tipped foliage compact screen plant or large container,Lilly Pilly,moist well drained site,usually moisture reliant,"small white flowers, blue fruits in summer",light frosts only,,,3.0,part shade to full sun,,light clay to sandy soils,,,2.0,wind resistant,"Known for its avenue feature with bronze tipped foliage compact screen plant or large container, Lilly Pilly makes an excellent addition to any garden. avenue feature with bronze tipped foliage compact screen plant or large container. It showcases small white flowers, blue fruits in summer, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both light frosts only and usually moisture reliant, ensuring its resilience in various conditions. Typically reaching an average height of 3.0 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Adenanthos detmoldii,C,moderate coastal exposure,bird attracting - useful in rockery maybe used for cut flowers,Jug Flower,good drainage,drought tolerant,yellow - orange spikes winter & spring,very frost hardy,,,1.4,part shade to full sun,,prefers sandy soils,,,1.2,some wind protection,"Adenanthos detmoldii is well-regarded for bird attracting - useful in rockery maybe used for cut flowers. It showcases yellow - orange spikes winter & spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in prefers sandy soils, this plant is both very frost hardy and drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 1.4 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Agonis flexuosa,C,moderate coastal exposure,avenue feature - weeping branches flower is like snow settled on branches,Willow Myrtle,tolerates wet sites,usually tolerates dry periods,small white flowers in summer,light frosts only,,,6.0,part shade to full sun,,light clay to sandy soils,,W,5.0,wind resistant,"Agonis flexuosa is well-regarded for avenue feature - weeping branches flower is like snow settled on branches. It showcases small white flowers in summer, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both light frosts only and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 6.0 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Agonis juniperina,,moderate coastal exposure,maybe used for cut flowers attractive tall feature for an avenue,Juniper Myrtle,moist well drained site,usually tolerates dry periods,masses of white flowers most seasons summer autumn winter spring,frost hardy,,,5.0,part shade to full sun,,light clay to sandy soils,,,4.0,wind resistant,"Juniper Myrtle (Agonis juniperina) is recognized for maybe used for cut flowers attractive tall feature for an avenue. It showcases masses of white flowers most seasons summer autumn winter spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both frost hardy and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 5.0 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Agonis marginata,,moderate coastal exposure,tip prune for density,Willow Myrtle,good drainage,usually tolerates dry periods,white flowers in late winter & spring,frost hardy,,,2.25,part shade to full sun,,light clay to sandy soils,,,2.0,wind resistant,"Gardeners often choose Willow Myrtle for tip prune for density. It showcases white flowers in late winter & spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both frost hardy and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 2.25 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Allocasuarina duncanii Casuarina,C,moderate coastal exposure,good windbreak in orchards - revegatation sturdy erect feature tree for an avenue,Conical She Oak,very good drainage,very drought tolerant,small rusty red flowers in autumn,very frost hardy,,H,5.5,part shade to full sun,,light clay to sandy soils,T,,3.5,very wind resistant,"Conical She Oak (Allocasuarina duncanii Casuarina) is recognized for good windbreak in orchards - revegatation sturdy erect feature tree for an avenue. It showcases small rusty red flowers in autumn, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both very frost hardy and very drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 5.5 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Allocasuarina littoralis Casuarina,C,moderate coastal exposure,good windbreak in orchards - revegatation sturdy erect feature tree for an avenue,Black She Oak,very good drainage,very drought tolerant,small rusty red flowers in autumn,very frost hardy,,H,9.0,part shade to full sun,,light clay to sandy soils,T,,6.0,very wind resistant,"Black She Oak is a remarkable plant admired for good windbreak in orchards - revegatation sturdy erect feature tree for an avenue. It showcases small rusty red flowers in autumn, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both very frost hardy and very drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 9.0 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Allocasuarina paludosa Casuarina,C,moderate coastal exposure,good revegatation plant for poor soils,Scrub She Oak,moist well drained site,usually tolerates dry periods,small rusty red flowers in autumn,frost hardy,,,2.0,prefers full sun,,light clay to sandy soils,T,,2.5,wind resistant,"Known for its good revegatation plant for poor soils, Scrub She Oak makes an excellent addition to any garden. good revegatation plant for poor soils. It showcases small rusty red flowers in autumn, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both frost hardy and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 2.0 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Allocasuarina verticillata Casuarina stricta,C,severe coastal exposure,good windbreak in orchards - revegatation weeping feature tree for an avenue,Drooping She Oak,very good drainage,very drought tolerant,small rusty red flowers in autumn,frost hardy,,,7.0,part shade to full sun,,light clay to sandy soils,T,,5.0,very wind resistant,"Allocasuarina verticillata Casuarina stricta is well-regarded for good windbreak in orchards - revegatation weeping feature tree for an avenue. It showcases small rusty red flowers in autumn, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both frost hardy and very drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 7.0 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Aotus ericoides,C,moderate coastal exposure,tip prune after flowering attracts butterflies,Golden Pea,moist well drained site,usually tolerates dry periods,yellow & red pea flowers in spring,frost hardy,,,0.8,part shade to full sun,,prefers sandy soils,T,,0.8,some wind protection,"Golden Pea (Aotus ericoides) is recognized for tip prune after flowering attracts butterflies. It showcases yellow & red pea flowers in spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in prefers sandy soils, this plant is both frost hardy and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 0.8 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Astartea fascicularis,C,moderate coastal exposure,,,good drainage,usually tolerates dry periods,small white flowers in spring & summer,frost hardy,,,1.5,prefers full sun,,light clay to sandy soils,,,1.5,some wind protection,"Gardeners often choose Astartea fascicularis for . It showcases small white flowers in spring & summer, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both frost hardy and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 1.5 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Astartea Winter Pink,,mild coastal sites,lovely container plant if pruned can be used for cut flowers,,good drainage,usually tolerates dry periods,"pink flowers winter, spring & summer",frost hardy,,,0.8,part shade to full sun,,light clay to sandy soils,,,1.2,protect from strong winds,"Astartea Winter Pink (Astartea Winter Pink) is recognized for lovely container plant if pruned can be used for cut flowers. It showcases pink flowers winter, spring & summer, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both frost hardy and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 0.8 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Atherosperma moschatum,,protect in coastline sites,slow growing - cut foliage timber used for turning - attracts butterflies,Sassafras,moist well drained site,usually moisture reliant,small white flowers in summer,very frost & snow hardy,,,12.0,dappled shade,D,heavy clay or peat soils,T,,5.0,wind resistant,"Atherosperma moschatum is well-regarded for slow growing - cut foliage timber used for turning - attracts butterflies. It showcases small white flowers in summer, bringing a vibrant and elegant touch to outdoor spaces. Thriving in heavy clay or peat soils, this plant is both very frost & snow hardy and usually moisture reliant, ensuring its resilience in various conditions. Typically reaching an average height of 12.0 meters, it flourishes in dappled shade. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Athrotaxis cupressoides,,protect in coastline sites,very solid feature tree for an avenue slow gowth - protect while young,Pencil Pine,moist well drained site,usually moisture reliant,,very frost & snow hardy,,H,10.0,dappled shade,D,heavy clay or peat soils,T,,4.0,wind resistant,"Known for its very solid feature tree for an avenue slow gowth - protect while young, Pencil Pine makes an excellent addition to any garden. very solid feature tree for an avenue slow gowth - protect while young. It showcases , bringing a vibrant and elegant touch to outdoor spaces. Thriving in heavy clay or peat soils, this plant is both very frost & snow hardy and usually moisture reliant, ensuring its resilience in various conditions. Typically reaching an average height of 10.0 meters, it flourishes in dappled shade. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Athrotaxis laxifolia,,protect in coastline sites,very slow growing avenue feature protect while young,Hybrid Pencil Pine,moist well drained site,usually moisture reliant,,very frost & snow hardy,,H,7.0,dappled shade,D,heavy clay or peat soils,T,,3.0,wind resistant,"Hybrid Pencil Pine is a remarkable plant admired for very slow growing avenue feature protect while young. It showcases , bringing a vibrant and elegant touch to outdoor spaces. Thriving in heavy clay or peat soils, this plant is both very frost & snow hardy and usually moisture reliant, ensuring its resilience in various conditions. Typically reaching an average height of 7.0 meters, it flourishes in dappled shade. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Athrotaxis selaginoides,,protect in coastline sites,slow growing quality durable timber avenue feature - protect while young,King Billy Pine,moist well drained site,usually moisture reliant,,very frost & snow hardy,,H,13.0,dappled shade,D,heavy clay or peat soils,T,,4.0,wind resistant,"Gardeners often choose King Billy Pine for slow growing quality durable timber avenue feature - protect while young. It showcases , bringing a vibrant and elegant touch to outdoor spaces. Thriving in heavy clay or peat soils, this plant is both very frost & snow hardy and usually moisture reliant, ensuring its resilience in various conditions. Typically reaching an average height of 13.0 meters, it flourishes in dappled shade. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Baeckea densifolia,C,moderate coastal exposure,slightly weeping branches,Heath Myrtle,good drainage,usually tolerates dry periods,small white flowers in summer,frost hardy,,,1.25,part shade to full sun,,light clay to sandy soils,,,1.7,some wind protection,"Baeckea densifolia is well-regarded for slightly weeping branches. It showcases small white flowers in summer, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both frost hardy and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 1.25 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Banksia aemula,C,moderate coastal exposure,avenue feature tree with large cones tall screen - attracts birds - cut flowers,Wallum Banksia,very good drainage,drought tolerant,large yellow cones in spring & summer,frost hardy,,,3.5,prefers full sun,,prefers sandy soils,,,3.0,wind resistant,"Known for its avenue feature tree with large cones tall screen - attracts birds - cut flowers, Wallum Banksia makes an excellent addition to any garden. avenue feature tree with large cones tall screen - attracts birds - cut flowers. It showcases large yellow cones in spring & summer, bringing a vibrant and elegant touch to outdoor spaces. Thriving in prefers sandy soils, this plant is both frost hardy and drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 3.5 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Banksia ericifolia,C,moderate coastal exposure,attractive avenue feature or screen good bird attracting plant - cut flowers,Heath Banksia,moist well drained site,usually tolerates dry periods,yellowy orange cones in winter & spring,very frost hardy,,,4.0,prefers full sun,,light clay to sandy soils,,,3.0,some wind protection,"Banksia ericifolia is well-regarded for attractive avenue feature or screen good bird attracting plant - cut flowers. It showcases yellowy orange cones in winter & spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both very frost hardy and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 4.0 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Banksia Giant Candles ericifolia,C,moderate coastal exposure,avenue feature with cones up to 40cm. tall screen - attracts birds - cut flowers,,good drainage,usually tolerates dry periods,yellow cones - autumn winter spring,very frost hardy,,,3.5,prefers full sun,,light clay to sandy soils,,,2.5,some wind protection,"Banksia Giant Candles ericifolia is well-regarded for avenue feature with cones up to 40cm. tall screen - attracts birds - cut flowers. It showcases yellow cones - autumn winter spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both very frost hardy and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 3.5 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Banksia grandis,C,moderate coastal exposure,bird attracting & lovely avenue feature used for cut foliage & flowers,Bull Banksia,very good drainage,usually tolerates dry periods,large yellow cones in spring & summer,light frosts only,,,4.5,prefers full sun,,prefers sandy soils,,,3.5,some wind protection,"Banksia grandis is well-regarded for bird attracting & lovely avenue feature used for cut foliage & flowers. It showcases large yellow cones in spring & summer, bringing a vibrant and elegant touch to outdoor spaces. Thriving in prefers sandy soils, this plant is both light frosts only and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 4.5 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Banksia integrifolia,C,severe coastal exposure,very good windbreak in coastal sites avenue feature tree - also bird attracting,Coastal Banksia,good drainage,usually tolerates dry periods,yellow cones in winter & spring,frost hardy,,,10.0,prefers full sun,,light clay to sandy soils,,,5.0,very wind resistant,"Coastal Banksia (Banksia integrifolia) is recognized for very good windbreak in coastal sites avenue feature tree - also bird attracting. It showcases yellow cones in winter & spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both frost hardy and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 10.0 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Banksia marginata,C,severe coastal exposure,very tough windbreak or screen also bird attracting,Silver Honeysuckle,good drainage,usually tolerates dry periods,small yellow cones in spring & summer,very frost & snow hardy,,H,5.0,prefers full sun,,light clay to sandy soils,T,,4.0,very wind resistant,"Known for its very tough windbreak or screen also bird attracting, Silver Honeysuckle makes an excellent addition to any garden. very tough windbreak or screen also bird attracting. It showcases small yellow cones in spring & summer, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both very frost & snow hardy and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 5.0 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Banksia oblongifolia asplenifolia,C,moderate coastal exposure,bird attracting & a lovely small feature,,very good drainage,drought tolerant,yellowy green cones in autumn & winter,frost hardy,,,1.75,prefers full sun,,light clay to sandy soils,,,2.0,some wind protection,"Known for its bird attracting & a lovely small feature, Banksia oblongifolia asplenifolia makes an excellent addition to any garden. bird attracting & a lovely small feature. It showcases yellowy green cones in autumn & winter, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both frost hardy and drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 1.75 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Banksia occidentalis,,mild coastal sites,avenue feature - bird attracting prune frequently for longevity,,moist well drained site,usually tolerates dry periods,bright red cones in summer,frost hardy,,,4.5,part shade to full sun,,light clay to sandy soils,,,4.0,some wind protection,"Banksia occidentalis is a remarkable plant admired for avenue feature - bird attracting prune frequently for longevity. It showcases bright red cones in summer, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both frost hardy and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 4.5 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
